date,brand,sales
16/10/21,Producto 10,"$1,260.21"
16/10/21,Producto 2,$422.60
16/10/21,Producto 16,$281.69
16/10/21,Producto 17,"$1,535.04"
16/10/21,Producto 15,$299.77
16/10/21,Producto 7,"$1,425.13"
16/10/21,Producto 11,$379.81
16/10/21,Producto 8,"$2,213.66"
16/10/21,Producto 9,"$4,928.86"
16/10/21,Producto 3,$206.31
16/10/21,Producto 18,"$1,207.16"
16/10/21,Producto 12,$694.28
16/10/21,Producto 14,"$3,635.08"
17/10/21,Producto 13,$79.95
17/10/21,Producto 18,$926.53
17/10/21,Producto 15,$136.91
17/10/21,Producto 1,$239.85
17/10/21,Producto 10,$703.06
17/10/21,Producto 7,"$1,191.27"
17/10/21,Producto 8,"$1,872.60"
17/10/21,Producto 5,"$2,867.67"
17/10/21,Producto 4,$419.79
17/10/21,Producto 3,$209.30
17/10/21,Producto 19,$15.99
17/10/21,Producto 6,"$3,730.82"
17/10/21,Producto 16,$242.73
17/10/21,Producto 2,$329.93
17/10/21,Producto 9,"$3,180.98"
17/10/21,Producto 14,"$2,756.02"
17/10/21,Producto 17,$959.40
17/10/21,Producto 12,$690.28
17/10/21,Producto 11,$219.89
18/10/21,Producto 13,$121.92
18/10/21,Producto 11,$39.98
18/10/21,Producto 10,$511.68
18/10/21,Producto 5,"$1,676.93"
18/10/21,Producto 7,$540.67
18/10/21,Producto 8,$954.98
18/10/21,Producto 6,"$2,117.85"
18/10/21,Producto 9,"$2,193.61"
18/10/21,Producto 2,$180.43
18/10/21,Producto 18,$605.36
18/10/21,Producto 1,$127.92
18/10/21,Producto 3,$131.56
18/10/21,Producto 14,"$1,508.38"
18/10/21,Producto 4,$159.92
18/10/21,Producto 16,$107.88
18/10/21,Producto 17,$403.75
18/10/21,Producto 12,$423.56
18/10/21,Producto 15,$208.86
19/10/21,Producto 14,"$3,432.26"
19/10/21,Producto 8,"$2,128.72"
19/10/21,Producto 10,"$1,051.34"
19/10/21,Producto 4,$279.86
19/10/21,Producto 5,"$3,363.85"
19/10/21,Producto 3,$251.16
19/10/21,Producto 1,$159.90
19/10/21,Producto 11,$279.86
19/10/21,Producto 7,"$1,383.14"
19/10/21,Producto 17,"$1,023.36"
19/10/21,Producto 12,$823.15
19/10/21,Producto 18,"$1,247.64"
19/10/21,Producto 6,"$4,197.66"
19/10/21,Producto 16,$308.66
19/10/21,Producto 9,"$3,823.56"
19/10/21,Producto 13,$155.90
19/10/21,Producto 2,$466.52
19/10/21,Producto 15,$209.85
20/10/21,Producto 17,"$1,149.28"
20/10/21,Producto 11,$319.84
20/10/21,Producto 16,$269.70
20/10/21,Producto 2,$430.56
20/10/21,Producto 10,"$1,085.32"
20/10/21,Producto 13,$217.86
20/10/21,Producto 8,"$2,416.42"
20/10/21,Producto 9,"$4,065.38"
20/10/21,Producto 12,$952.52
20/10/21,Producto 14,"$3,713.70"
20/10/21,Producto 1,$287.82
20/10/21,Producto 4,$719.64
20/10/21,Producto 15,$190.87
20/10/21,Producto 5,"$3,564.72"
20/10/21,Producto 6,"$5,234.58"
20/10/21,Producto 3,$209.30
20/10/21,Producto 7,"$1,471.10"
20/10/21,Producto 18,"$1,122.82"
21/10/21,Producto 7,"$2,206.66"
21/10/21,Producto 9,"$4,720.58"
21/10/21,Producto 10,"$1,497.06"
21/10/21,Producto 3,$281.06
21/10/21,Producto 4,$679.66
21/10/21,Producto 16,$285.68
21/10/21,Producto 14,"$4,410.42"
21/10/21,Producto 8,"$2,676.18"
21/10/21,Producto 19,$31.98
21/10/21,Producto 5,"$4,667.02"
21/10/21,Producto 12,"$1,012.14"
21/10/21,Producto 15,$151.38
21/10/21,Producto 1,$319.80
21/10/21,Producto 17,"$1,379.14"
21/10/21,Producto 6,"$6,148.50"
21/10/21,Producto 11,$319.84
21/10/21,Producto 13,$31.98
21/10/21,Producto 2,$458.52
21/10/21,Producto 18,"$1,704.18"
22/10/21,Producto 2,$564.18
22/10/21,Producto 5,"$6,924.56"
22/10/21,Producto 4,"$1,079.46"
22/10/21,Producto 1,$287.82
22/10/21,Producto 16,$485.46
22/10/21,Producto 3,$352.82
22/10/21,Producto 17,"$2,492.44"
22/10/21,Producto 10,"$1,724.92"
22/10/21,Producto 8,"$3,447.70"
22/10/21,Producto 6,"$9,485.08"
22/10/21,Producto 13,$289.82
22/10/21,Producto 15,$474.20
22/10/21,Producto 18,"$1,969.90"
22/10/21,Producto 7,"$2,362.54"
22/10/21,Producto 14,"$6,002.54"
22/10/21,Producto 9,"$8,858.98"
22/10/21,Producto 12,"$1,454.48"
22/10/21,Producto 11,$439.78
23/10/21,Producto 5,"$8,743.44"
23/10/21,Producto 9,"$9,471.96"
23/10/21,Producto 8,"$4,519.25"
23/10/21,Producto 3,$304.98
23/10/21,Producto 4,"$1,079.46"
23/10/21,Producto 10,"$2,258.58"
23/10/21,Producto 15,$545.64
23/10/21,Producto 12,"$1,525.42"
23/10/21,Producto 14,"$7,168.50"
23/10/21,Producto 6,"$10,912.12"
23/10/21,Producto 18,"$2,363.43"
23/10/21,Producto 13,$487.70
23/10/21,Producto 2,$857.24
23/10/21,Producto 7,"$3,337.98"
23/10/21,Producto 11,$359.82
23/10/21,Producto 16,$519.42
23/10/21,Producto 1,$479.70
23/10/21,Producto 17,"$3,108.06"
24/10/21,Producto 15,$343.74
24/10/21,Producto 16,$361.59
24/10/21,Producto 18,"$1,557.67"
24/10/21,Producto 8,"$3,159.66"
24/10/21,Producto 12,"$1,009.44"
24/10/21,Producto 9,"$5,122.73"
24/10/21,Producto 11,$239.88
24/10/21,Producto 2,$606.04
24/10/21,Producto 6,"$6,436.43"
24/10/21,Producto 17,"$1,407.12"
24/10/21,Producto 10,"$1,849.84"
24/10/21,Producto 13,$195.88
24/10/21,Producto 1,$239.85
24/10/21,Producto 3,$251.16
24/10/21,Producto 7,"$1,910.85"
24/10/21,Producto 4,$439.78
24/10/21,Producto 14,"$4,450.66"
24/10/21,Producto 5,"$5,157.71"
25/10/21,Producto 10,$723.54
25/10/21,Producto 9,"$3,540.34"
25/10/21,Producto 2,$413.67
25/10/21,Producto 13,$157.90
25/10/21,Producto 3,$233.22
25/10/21,Producto 6,"$4,345.02"
25/10/21,Producto 16,$269.70
25/10/21,Producto 1,$127.92
25/10/21,Producto 12,$837.12
25/10/21,Producto 18,$974.96
25/10/21,Producto 5,"$3,333.84"
25/10/21,Producto 8,"$1,655.26"
25/10/21,Producto 17,$837.48
25/10/21,Producto 15,$166.36
25/10/21,Producto 7,"$1,209.26"
25/10/21,Producto 11,$79.96
25/10/21,Producto 4,$479.76
25/10/21,Producto 14,"$3,232.50"
26/10/21,Producto 9,"$3,954.47"
26/10/21,Producto 11,$159.92
26/10/21,Producto 13,$31.98
26/10/21,Producto 8,"$1,858.98"
26/10/21,Producto 15,$112.91
26/10/21,Producto 7,"$1,219.24"
26/10/21,Producto 5,"$2,671.30"
26/10/21,Producto 3,$233.22
26/10/21,Producto 4,$599.70
26/10/21,Producto 1,$351.78
26/10/21,Producto 16,$271.70
26/10/21,Producto 2,$434.56
26/10/21,Producto 10,$823.48
26/10/21,Producto 6,"$4,702.71"
26/10/21,Producto 14,"$3,172.03"
26/10/21,Producto 12,$745.74
26/10/21,Producto 18,"$1,419.46"
26/10/21,Producto 17,"$1,157.28"
27/10/21,Producto 4,$139.93
27/10/21,Producto 6,"$2,291.96"
27/10/21,Producto 14,"$1,634.23"
27/10/21,Producto 17,$607.62
27/10/21,Producto 7,$803.50
27/10/21,Producto 10,$670.57
27/10/21,Producto 9,"$2,141.60"
27/10/21,Producto 2,$321.95
27/10/21,Producto 5,"$1,884.78"
27/10/21,Producto 12,$387.35
27/10/21,Producto 3,$113.62
27/10/21,Producto 15,$248.35
27/10/21,Producto 8,"$1,119.18"
27/10/21,Producto 1,$175.89
27/10/21,Producto 16,$203.77
27/10/21,Producto 13,$94.94
27/10/21,Producto 11,$259.87
27/10/21,Producto 18,$659.80
28/10/21,Producto 12,"$1,082.39"
28/10/21,Producto 8,"$2,506.34"
28/10/21,Producto 7,"$2,214.66"
28/10/21,Producto 4,$719.64
28/10/21,Producto 13,$257.84
28/10/21,Producto 5,"$5,132.66"
28/10/21,Producto 14,"$4,327.34"
28/10/21,Producto 17,"$1,199.25"
28/10/21,Producto 16,$305.66
28/10/21,Producto 1,$319.80
28/10/21,Producto 6,"$6,205.18"
28/10/21,Producto 11,$359.82
28/10/21,Producto 10,"$1,544.99"
28/10/21,Producto 9,"$5,992.61"
28/10/21,Producto 3,$319.93
28/10/21,Producto 2,$539.21
28/10/21,Producto 18,"$1,690.20"
28/10/21,Producto 15,$168.88
29/10/21,Producto 7,"$1,823.36"
29/10/21,Producto 15,$312.79
29/10/21,Producto 13,$139.91
29/10/21,Producto 4,$479.76
29/10/21,Producto 9,"$4,870.81"
29/10/21,Producto 5,"$4,132.32"
29/10/21,Producto 10,"$1,242.20"
29/10/21,Producto 16,$300.67
29/10/21,Producto 11,$199.90
29/10/21,Producto 17,"$1,343.16"
29/10/21,Producto 6,"$5,020.59"
29/10/21,Producto 18,"$1,238.86"
29/10/21,Producto 8,"$2,275.06"
29/10/21,Producto 1,$175.89
29/10/21,Producto 14,"$3,018.57"
29/10/21,Producto 12,$592.14
29/10/21,Producto 3,$197.34
29/10/21,Producto 2,$426.60
30/10/21,Producto 18,"$1,214.21"
30/10/21,Producto 3,$185.38
30/10/21,Producto 11,$299.85
30/10/21,Producto 17,"$1,933.79"
30/10/21,Producto 4,$839.58
30/10/21,Producto 6,"$6,485.12"
30/10/21,Producto 8,"$2,393.95"
30/10/21,Producto 14,"$4,134.16"
30/10/21,Producto 13,$177.89
30/10/21,Producto 5,"$5,799.75"
30/10/21,Producto 12,$818.90
30/10/21,Producto 15,$613.11
30/10/21,Producto 16,$328.14
30/10/21,Producto 10,"$1,938.77"
30/10/21,Producto 19,$13.99
30/10/21,Producto 1,$415.74
30/10/21,Producto 7,"$1,677.45"
30/10/21,Producto 2,$379.77
30/10/21,Producto 9,"$6,525.76"
31/10/21,Producto 16,$332.13
31/10/21,Producto 2,$270.13
31/10/21,Producto 10,"$1,096.29"
31/10/21,Producto 1,$239.85
31/10/21,Producto 3,$200.33
31/10/21,Producto 4,$239.88
31/10/21,Producto 6,"$4,507.97"
31/10/21,Producto 18,"$1,217.21"
31/10/21,Producto 5,"$4,465.62"
31/10/21,Producto 14,"$3,539.82"
31/10/21,Producto 17,"$1,263.21"
31/10/21,Producto 9,"$4,573.02"
31/10/21,Producto 7,"$1,164.28"
31/10/21,Producto 13,$124.92
31/10/21,Producto 15,$478.66
31/10/21,Producto 8,"$2,085.15"
31/10/21,Producto 11,$219.89
31/10/21,Producto 12,$698.78
01/11/21,Producto 13,$77.95
01/11/21,Producto 14,"$1,487.20"
01/11/21,Producto 4,$139.93
01/11/21,Producto 1,$143.91
01/11/21,Producto 10,$496.68
01/11/21,Producto 18,$510.46
01/11/21,Producto 16,$117.87
01/11/21,Producto 3,$158.47
01/11/21,Producto 8,$913.53
01/11/21,Producto 6,"$1,956.72"
01/11/21,Producto 7,$570.95
01/11/21,Producto 2,$197.34
01/11/21,Producto 5,"$1,269.17"
01/11/21,Producto 12,$358.63
01/11/21,Producto 9,"$1,912.71"
01/11/21,Producto 15,$181.88
01/11/21,Producto 11,$179.91
01/11/21,Producto 17,$303.81
02/11/21,Producto 19,$13.99
02/11/21,Producto 3,$125.58
02/11/21,Producto 7,$642.09
02/11/21,Producto 4,$259.87
02/11/21,Producto 13,$47.97
02/11/21,Producto 2,$249.20
02/11/21,Producto 9,"$1,903.72"
02/11/21,Producto 16,$133.85
02/11/21,Producto 6,"$2,040.42"
02/11/21,Producto 15,$207.34
02/11/21,Producto 14,"$1,799.37"
02/11/21,Producto 11,$139.93
02/11/21,Producto 12,$303.44
02/11/21,Producto 18,$499.46
02/11/21,Producto 8,$961.25
02/11/21,Producto 17,$255.84
02/11/21,Producto 5,"$1,563.47"
02/11/21,Producto 10,$631.58
02/11/21,Producto 1,$47.97
03/11/21,Producto 15,$142.90
03/11/21,Producto 14,"$1,779.56"
03/11/21,Producto 16,$151.82
03/11/21,Producto 2,$206.33
03/11/21,Producto 18,$476.81
03/11/21,Producto 11,$159.92
03/11/21,Producto 10,"$1,095.19"
03/11/21,Producto 7,$683.59
03/11/21,Producto 3,$146.51
03/11/21,Producto 13,$202.85
03/11/21,Producto 17,$677.54
03/11/21,Producto 4,$159.92
03/11/21,Producto 9,"$2,409.32"
03/11/21,Producto 5,"$2,401.77"
03/11/21,Producto 1,$107.92
03/11/21,Producto 6,"$2,410.42"
03/11/21,Producto 8,"$1,080.62"
03/11/21,Producto 12,$436.53
04/11/21,Producto 14,"$1,887.48"
04/11/21,Producto 9,"$2,708.43"
04/11/21,Producto 7,$957.93
04/11/21,Producto 10,"$1,093.17"
04/11/21,Producto 18,$730.19
04/11/21,Producto 5,"$2,590.16"
04/11/21,Producto 17,$784.46
04/11/21,Producto 15,$233.33
04/11/21,Producto 4,$219.89
04/11/21,Producto 12,$516.30
04/11/21,Producto 16,$101.39
04/11/21,Producto 13,$121.91
04/11/21,Producto 3,$152.49
04/11/21,Producto 8,"$1,169.40"
04/11/21,Producto 1,$291.79
04/11/21,Producto 2,$206.35
04/11/21,Producto 6,"$2,641.09"
04/11/21,Producto 11,$139.93
05/11/21,Producto 17,"$1,334.10"
05/11/21,Producto 5,"$4,211.00"
05/11/21,Producto 1,$167.88
05/11/21,Producto 4,$319.84
05/11/21,Producto 6,"$4,047.04"
05/11/21,Producto 12,$692.10
05/11/21,Producto 16,$218.75
05/11/21,Producto 15,$481.65
05/11/21,Producto 11,$279.86
05/11/21,Producto 3,$194.35
05/11/21,Producto 8,"$1,971.08"
05/11/21,Producto 9,"$4,460.93"
05/11/21,Producto 10,"$1,626.80"
05/11/21,Producto 7,"$1,077.83"
05/11/21,Producto 14,"$2,800.33"
05/11/21,Producto 2,$305.99
05/11/21,Producto 18,$916.68
05/11/21,Producto 13,$181.87
06/11/21,Producto 14,"$3,660.03"
06/11/21,Producto 1,$327.77
06/11/21,Producto 16,$396.54
06/11/21,Producto 13,$397.70
06/11/21,Producto 5,"$6,541.40"
06/11/21,Producto 7,"$1,599.53"
06/11/21,Producto 4,$519.74
06/11/21,Producto 3,$206.31
06/11/21,Producto 2,$390.76
06/11/21,Producto 19,$13.99
06/11/21,Producto 10,"$2,112.96"
06/11/21,Producto 18,"$1,186.94"
06/11/21,Producto 11,$259.87
06/11/21,Producto 6,"$6,439.87"
06/11/21,Producto 12,$723.25
06/11/21,Producto 15,$466.15
06/11/21,Producto 17,"$1,934.69"
06/11/21,Producto 9,"$7,631.75"
06/11/21,Producto 8,"$2,736.66"
07/11/21,Producto 2,$342.90
07/11/21,Producto 15,$346.24
07/11/21,Producto 12,$418.31
07/11/21,Producto 18,$917.68
07/11/21,Producto 3,$206.31
07/11/21,Producto 5,"$2,745.05"
07/11/21,Producto 7,"$1,071.36"
07/11/21,Producto 6,"$3,226.10"
07/11/21,Producto 9,"$3,959.29"
07/11/21,Producto 11,$179.91
07/11/21,Producto 4,$299.85
07/11/21,Producto 10,"$1,258.09"
07/11/21,Producto 17,"$1,278.15"
07/11/21,Producto 1,$135.91
07/11/21,Producto 8,"$1,552.60"
07/11/21,Producto 16,$166.81
07/11/21,Producto 14,"$2,598.21"
07/11/21,Producto 13,$171.87
08/11/21,Producto 8,"$1,010.75"
08/11/21,Producto 12,$409.57
08/11/21,Producto 15,$118.92
08/11/21,Producto 17,$531.62
08/11/21,Producto 18,$545.39
08/11/21,Producto 11,$79.96
08/11/21,Producto 13,$105.93
08/11/21,Producto 7,$514.18
08/11/21,Producto 10,$843.36
08/11/21,Producto 4,$139.93
08/11/21,Producto 3,$137.54
08/11/21,Producto 5,"$1,737.76"
08/11/21,Producto 9,"$2,405.64"
08/11/21,Producto 14,"$1,521.84"
08/11/21,Producto 6,"$2,061.62"
08/11/21,Producto 16,$179.29
08/11/21,Producto 2,$193.75
08/11/21,Producto 1,$167.88
09/11/21,Producto 8,"$1,833.54"
09/11/21,Producto 12,$911.02
09/11/21,Producto 9,"$4,957.51"
09/11/21,Producto 7,"$1,670.98"
09/11/21,Producto 11,$199.90
09/11/21,Producto 17,"$1,373.06"
09/11/21,Producto 13,$253.82
09/11/21,Producto 3,$316.94
09/11/21,Producto 5,"$3,996.18"
09/11/21,Producto 1,$343.76
09/11/21,Producto 16,$229.74
09/11/21,Producto 6,"$3,943.32"
09/11/21,Producto 2,$519.33
09/11/21,Producto 10,"$1,516.90"
09/11/21,Producto 4,$439.78
09/11/21,Producto 18,"$1,173.20"
09/11/21,Producto 14,"$3,635.12"
10/11/21,Producto 12,$521.46
10/11/21,Producto 2,$220.39
10/11/21,Producto 5,"$1,890.78"
10/11/21,Producto 13,$63.96
10/11/21,Producto 7,$913.44
10/11/21,Producto 17,$638.60
10/11/21,Producto 15,$177.19
10/11/21,Producto 14,"$1,762.11"
10/11/21,Producto 6,"$2,466.39"
10/11/21,Producto 1,$239.85
10/11/21,Producto 9,"$2,265.56"
10/11/21,Producto 16,$109.38
10/11/21,Producto 8,$928.19
10/11/21,Producto 4,$179.91
10/11/21,Producto 18,$560.41
10/11/21,Producto 3,$211.46
10/11/21,Producto 10,$565.65
10/11/21,Producto 11,$119.94
11/11/21,Producto 8,"$1,647.24"
11/11/21,Producto 7,"$1,124.81"
11/11/21,Producto 4,$419.79
11/11/21,Producto 17,$914.43
11/11/21,Producto 5,"$1,978.73"
11/11/21,Producto 1,$271.83
11/11/21,Producto 9,"$2,977.41"
11/11/21,Producto 14,"$1,871.51"
11/11/21,Producto 12,$542.44
11/11/21,Producto 6,"$2,845.56"
11/11/21,Producto 3,$155.61
11/11/21,Producto 10,$793.51
11/11/21,Producto 11,$19.99
11/11/21,Producto 15,$257.81
11/11/21,Producto 16,$252.72
11/11/21,Producto 13,$108.93
11/11/21,Producto 18,$770.26
11/11/21,Producto 2,$293.24
12/11/21,Producto 18,$955.49
12/11/21,Producto 9,"$4,334.24"
12/11/21,Producto 17,"$1,214.24"
12/11/21,Producto 6,"$3,963.35"
12/11/21,Producto 2,$447.83
12/11/21,Producto 10,"$1,031.36"
12/11/21,Producto 3,$207.48
12/11/21,Producto 5,"$3,678.15"
12/11/21,Producto 16,$234.74
12/11/21,Producto 1,$127.92
12/11/21,Producto 12,$520.89
12/11/21,Producto 7,"$1,242.24"
12/11/21,Producto 11,$219.89
12/11/21,Producto 13,$126.92
12/11/21,Producto 8,"$1,859.02"
12/11/21,Producto 15,$474.69
12/11/21,Producto 14,"$2,977.14"
12/11/21,Producto 4,$439.78
13/11/21,Producto 17,"$1,409.12"
13/11/21,Producto 14,"$3,212.07"
13/11/21,Producto 9,"$4,622.50"
13/11/21,Producto 4,$539.73
13/11/21,Producto 3,$207.48
13/11/21,Producto 18,"$1,076.85"
13/11/21,Producto 6,"$4,893.50"
13/11/21,Producto 12,$603.39
13/11/21,Producto 16,$336.80
13/11/21,Producto 13,$156.90
13/11/21,Producto 2,$410.92
13/11/21,Producto 5,"$4,454.65"
13/11/21,Producto 10,"$1,372.15"
13/11/21,Producto 7,"$1,285.22"
13/11/21,Producto 15,$533.61
13/11/21,Producto 1,$223.86
13/11/21,Producto 11,$259.87
13/11/21,Producto 19,$15.99
13/11/21,Producto 8,"$2,506.31"
14/11/21,Producto 4,$339.83
14/11/21,Producto 13,$94.94
14/11/21,Producto 14,"$2,693.32"
14/11/21,Producto 3,$203.49
14/11/21,Producto 20,$0.00
14/11/21,Producto 15,$307.28
14/11/21,Producto 11,$239.88
